,fitness,expression,depth,length
alpha_1,1.6749421743099775,ta_dema_55(tan(ta_ema_8(volume))),3,4
alpha_2,1.3048947989341737,"ts_kurt_10(TA_BOP(volume, close, low, volume))",2,6
alpha_3,1.2276676707796548,ts_sma_55(ts_mean_return_20(ta_tema_55(low))),3,4
alpha_4,1.1888898161987747,ts_prod_17(ta_lr_slope_20(high)),2,3
alpha_5,1.09505703685414,"sin(ta_tsf_5(div(close, close)))",3,5
alpha_6,0.9878455504366392,ts_prod_3(ta_trix_55(ta_dema_55(low))),3,4
alpha_7,0.9763321455197479,"ts_wma_55(ta_beta_20(ts_mean_return_20(volume), close))",3,5
alpha_8,0.9495189364110186,"ts_range_5(ta_dx_14(add(volume, volume), tanh(close), ts_kurt_40(close)))",3,9
alpha_9,0.9374625848129957,"ta_dema_55(ta_lr_slope_10(TS_CORR_20(volume, volume)))",3,5
alpha_10,0.9374354833766055,ts_sma_55(ta_ema_55(ts_min_5(close))),3,4
alpha_11,0.9166684064490344,"ta_minus_di_25(ts_std_10(high), ta_beta_10(volume, volume), ta_dx_25(open, volume, high))",2,10
alpha_13,0.8891930763917418,ts_sum_17(ts_sma_21(ts_wma_55(close))),3,4
alpha_14,0.8839794576653729,tanh(ta_trima_55(ts_wma_21(high))),3,4
alpha_12,0.8780306480644923,"ta_atr_25(ta_willr_25(TA_BOP(high, close, volume, volume), ta_rocr_25(low), ta_tsf_10(close)), ta_cmo_14(ts_argmax_20(close)), ts_max_20(TA_HT_DCPHASE(close)))",3,17
alpha_15,0.8640784815753211,ts_prod_17(ts_lag_8(open)),2,3
alpha_16,0.8618303468557073,elu(ts_max_10(ts_sma_21(open))),3,4
alpha_17,0.8611408228578931,ta_dema_8(ta_dema_55(high)),2,3
alpha_18,0.8545552676128885,"ts_prod_3(ta_lr_angle_20(ta_beta_20(close, close)))",3,5
alpha_19,0.8500039990946981,"ta_tema_8(ta_beta_10(high, high))",2,4
alpha_20,0.8448618377757044,ta_ema_21(elu(high)),2,3
alpha_22,0.8417733682944812,elu(ta_lr_intercept_10(close)),2,3
alpha_21,0.8379504364513909,"ts_wma_8(add(ta_dema_55(low), ta_beta_10(close, close)))",3,7
alpha_23,0.8377525657303138,ts_sma_55(ta_tema_21(close)),2,3
alpha_25,0.8347122263493787,ta_tsf_10(ts_wma_55(high)),2,3
alpha_26,0.8332323192370252,"tan(ta_beta_20(close, low))",2,4
alpha_24,0.8330999832477125,"max(ts_prod_17(low), ta_trima_21(close))",2,5
alpha_27,0.8327898322452677,"ts_rank_5(TS_CORR_40(high, high))",2,4
alpha_29,0.8298891979152396,tanh(ts_lag_8(low)),2,3
alpha_41,0.8289892005639508,ts_argrange_20(tanh(open)),2,3
alpha_30,0.8286268040673701,ta_ema_8(ta_dema_8(ta_dema_21(open))),3,4
alpha_48,0.8284736213886953,ts_argrange_10(ta_trima_55(open)),2,3
alpha_49,0.8282974511774567,ts_sum_8(ta_dema_21(close)),2,3
alpha_42,0.8279892005639508,"log(sub(high, high))",2,4
alpha_33,0.8279892005639508,"ts_argrange_20(div(volume, volume))",2,4
alpha_46,0.8279892005639508,ts_range_5(ta_tema_21(tanh(volume))),3,4
alpha_44,0.8279892005639508,ta_ema_8(ts_skew_10(tanh(close))),3,4
alpha_38,0.8279892005639508,ta_lr_slope_10(sqrt(tanh(close))),3,4
alpha_43,0.8279892005639508,ts_range_5(tanh(sqrt(close))),3,4
alpha_50,0.8275504130794028,ta_tsf_20(ts_sma_55(close)),2,3
alpha_51,0.8270838724781567,ts_sma_55(ta_trima_21(low)),2,3
alpha_52,0.8267803138312652,ta_ema_21(neg(open)),2,3
alpha_54,0.8263701235738413,ta_trima_21(low),1,2
alpha_40,0.8259892005639508,"ta_trix_8(TA_BOP(close, open, open, low))",2,6
alpha_39,0.8259892005639508,"ta_lr_slope_20(TA_BOP(volume, low, low, high))",2,6
alpha_45,0.8259892005639508,"ta_ema_8(TA_BOP(open, low, close, low))",2,6
alpha_36,0.8259892005639508,"ts_prod_17(TA_BOP(low, close, close, volume))",2,6
alpha_35,0.8259892005639508,"ts_std_20(TA_BOP(volume, open, open, low))",2,6
alpha_53,0.8254682598148676,"ts_sum_17(add(low, low))",2,4
alpha_32,0.8249892005639508,"ta_rocr_14(ts_sum_8(TA_BOP(low, open, open, high)))",3,7
alpha_57,0.8232196211193056,ts_sum_17(abs(close)),2,3
alpha_37,0.8229892005639508,"TA_BOP(ta_beta_20(open, close), ta_trima_55(volume), open, ta_cmo_14(close))",2,9
alpha_55,0.822891628676375,ta_ema_8(ts_sum_17(ta_dema_8(close))),3,4
alpha_31,0.8223240425406662,"ta_mfi_25(ta_tema_8(open), ts_sum_3(open), ts_mean_return_20(close), ta_beta_5(volume, volume))",2,10
alpha_47,0.8219892005639508,"ta_beta_10(ts_min_10(ta_mfi_14(open, low, open, low)), ts_range_5(tanh(close)))",3,10
alpha_56,0.8213407556187348,"ts_sma_21(ta_dema_21(mul(high, high)))",3,5
alpha_59,0.820467188755113,ts_min_10(ts_min_20(ts_lag_3(close))),3,4
alpha_61,0.8193659981743562,ts_sma_55(ts_min_10(high)),2,3
alpha_60,0.8190691031646188,ts_min_5(ta_dema_55(ts_prod_3(volume))),3,4
alpha_34,0.8179892005639507,"TS_COV_20(ts_max_5(ta_atr_14(high, high, volume)), TS_COV_40(TA_BOP(open, low, open, low), ta_tsf_5(high)))",3,14
alpha_28,0.8173459783815078,"ta_atr_25(ta_rocr_25(ts_rank_10(high)), TA_BOP(ta_lr_slope_10(volume), ta_trima_55(volume), close, sub(close, low)), ta_trima_21(ts_wma_55(high)))",3,16
alpha_62,0.8166639367834125,TA_HT_DCPHASE(ts_wma_8(ts_argmin_20(low))),3,4
alpha_65,0.814465593241242,ta_ema_21(ta_ema_8(low)),2,3
alpha_66,0.8141160423793814,ts_wma_21(log(low)),2,3
alpha_67,0.8133423599415833,ta_lr_slope_5(ts_wma_55(high)),2,3
alpha_68,0.8121952768858822,"abs(TA_SAR(low, high))",2,4
alpha_58,0.8120638411087077,"TA_BOP(ts_mean_return_10(ts_kurt_10(open)), ta_ema_21(ts_std_20(open)), ta_trima_8(TS_CORR_20(low, volume)), ts_max_20(ta_lr_slope_20(close)))",3,14
alpha_69,0.8117671138035137,ta_dema_55(ts_delta_17(low)),2,3
alpha_64,0.8116833352557904,"ts_sma_21(min(ta_trima_55(high), ts_lag_3(low)))",3,6
alpha_70,0.8101282542893937,ta_tsf_20(ta_dema_21(close)),2,3
alpha_71,0.8099960072721024,ts_lag_8(ta_dema_55(high)),2,3
alpha_63,0.8096544165057872,"ta_atr_14(ts_prod_17(ta_dema_8(close)), ts_range_5(ts_mean_return_20(high)), ts_rank_10(ts_kurt_10(high)))",3,10
alpha_73,0.8083836937678343,ts_min_20(ta_lr_intercept_20(low)),2,3
alpha_72,0.8082086805462377,ts_lag_3(ts_sum_17(ts_lag_8(close))),3,4
alpha_75,0.8068271264759779,ts_prod_17(ts_lag_17(low)),2,3
alpha_74,0.8060739006275038,"abs(tan(ta_beta_10(low, open)))",3,5
alpha_76,0.8059071526553901,ts_prod_8(ts_sma_21(close)),2,3
alpha_77,0.8044140071381798,ta_dema_8(ts_lag_8(open)),2,3
alpha_78,0.8042705945604648,ts_lag_3(ts_wma_21(close)),2,3
alpha_79,0.803408390751869,ta_trix_55(ts_prod_3(open)),2,3
alpha_80,0.8022851154615082,ts_sma_8(ts_lag_3(ts_min_10(close))),3,4
