,fitness,expression,depth,length
alpha_1,1.4839007929722534,"max(sqrt(abs(low)), add(log(close), sub(close, open)))",3,10
alpha_2,1.4784422607701826,"max(sqrt(close), sub(close, open))",2,6
alpha_4,1.4717492835379555,"max(sqrt(high), sub(close, open))",2,6
alpha_3,1.4691639178807199,"max(sub(sub(low, low), max(low, high)), max(sub(close, open), sqrt(open)))",3,14
alpha_5,1.465200618173008,"max(sub(high, open), sqrt(abs(low)))",3,7
alpha_6,1.4606237973216543,"max(sub(high, open), sqrt(close))",2,6
alpha_7,1.4576547097529662,"max(sub(high, open), sqrt(open))",2,6
alpha_8,1.4506546955153863,"sub(max(sqrt(open), sub(high, open)), div(inv(volume), add(close, volume)))",3,13
alpha_9,1.425818591724863,"max(sub(close, low), sqrt(high))",2,6
alpha_13,1.4137478291430423,"max(sqrt(low), sub(high, low))",2,6
alpha_12,1.4137478291430423,"max(sub(high, low), sqrt(low))",2,6
alpha_11,1.4117478291430423,"max(abs(sub(high, low)), sqrt(neg(low)))",3,8
alpha_14,1.4083998653937555,"max(sub(high, low), sqrt(close))",2,6
alpha_15,1.3843194329260387,"sqrt(max(sqrt(close), sub(high, low)))",3,7
alpha_16,1.3124508384966938,"max(abs(sub(close, low)), sqrt(add(high, close)))",3,9
alpha_19,1.0380463926616441,"mul(open, mul(mul(close, low), mul(high, open)))",3,9
alpha_23,1.0352587666486737,"mul(mul(low, close), mul(open, close))",2,7
alpha_17,1.0351132928564866,"mul(mul(abs(low), log(close)), mul(mul(close, open), mul(open, high)))",3,13
alpha_29,1.034070456193964,"mul(mul(open, low), mul(close, open))",2,7
alpha_35,1.0336873354552647,"mul(mul(low, open), mul(close, high))",2,7
alpha_21,1.0333038733890112,"mul(max(abs(open), mul(high, high)), mul(abs(low), mul(open, close)))",3,13
alpha_18,1.0331101058139693,"mul(max(mul(low, close), neg(open)), mul(add(open, high), mul(close, high)))",3,14
alpha_20,1.033046392661644,"mul(mul(neg(low), mul(close, open)), div(mul(open, open), div(open, high)))",3,14
alpha_40,1.0328294191339735,"mul(mul(low, close), mul(low, close))",2,7
alpha_41,1.0327798381948659,"mul(mul(low, low), mul(close, high))",2,7
