,fitness,expression,depth,length
alpha_2,0.35907913061852675,"max(log(max(high, high)), sqrt(sub(low, high)))",3,9
alpha_4,0.35907913061852675,"max(log(max(high, high)), sqrt(sub(high, low)))",3,9
alpha_5,0.35807913061852675,"max(log(max(high, high)), sqrt(sub(low, abs(high))))",4,10
alpha_1,0.35587766779881563,"sub(mul(log(close), log(open)), abs(max(sqrt(low), sub(high, low))))",4,13
alpha_7,0.3319472753077729,"div(max(sub(high, low), sqrt(low)), sqrt(low))",3,9
alpha_9,0.32719826598255636,"div(sqrt(low), max(sub(high, open), sqrt(abs(low))))",4,10
alpha_8,0.32554314895238606,"max(add(add(high, open), neg(high)), mul(sub(high, low), sub(high, low)))",3,14
alpha_10,0.32272402247541143,"mul(inv(max(sub(high, open), sqrt(close))), neg(sqrt(close)))",4,11
alpha_11,0.30477498933067754,"div(sqrt(low), max(sqrt(low), sub(high, low)))",3,9
alpha_13,0.30423461043891575,"div(sqrt(close), max(sqrt(close), sub(high, low)))",3,9
alpha_12,0.30377498933067754,"div(abs(sqrt(low)), max(sqrt(low), sub(high, low)))",3,10
alpha_14,0.3027415848828394,"log(div(sqrt(open), max(sqrt(open), sub(high, open))))",4,10
alpha_16,0.2844725368234837,"div(max(sub(high, low), sqrt(close)), sqrt(low))",3,9
alpha_15,0.28267147483092936,"max(div(sub(close, low), log(volume)), sub(log(close), div(low, low)))",3,13
alpha_17,0.2794725368234837,"add(div(max(sub(high, low), sqrt(close)), sqrt(low)), log(div(volume, volume)))",4,14
alpha_18,0.2730383323744945,"max(sub(sub(high, open), div(high, open)), mul(log(open), log(close)))",3,13
alpha_21,0.2570340048366039,"max(high, mul(sqrt(volume), sub(close, low)))",3,8
alpha_23,0.24870524922314208,"sub(max(sub(high, open), sqrt(close)), abs(sqrt(close)))",3,10
alpha_24,0.2484546089985123,"div(max(sub(high, open), sqrt(low)), sqrt(low))",3,9
alpha_22,0.24767984207873806,"max(add(add(high, open), neg(high)), mul(sub(high, low), max(sub(high, open), sqrt(open))))",4,17
alpha_26,0.2454472718271622,"mul(inv(sqrt(open)), abs(neg(max(sqrt(open), sub(high, open)))))",5,12
alpha_27,0.23158979154075404,"div(max(low, mul(sqrt(volume), sub(close, open))), sqrt(low))",4,11
